alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1744031297.3899,elite,613.19377606283,1743744027.9606,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743744029,1744031297.3899,13001,http,43.153.79.36:13001,false,746.71173095703,1996,1351,59.635494472662,43.153.79.36
true,1744031296.4189,elite,645.14864491801,1743744703.3751,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743744704,1744031296.4189,13001,http,49.51.198.19:13001,false,480.01217842102,2168,1173,64.890751272074,49.51.198.19
true,1744031086.5114,elite,605.09690192708,1743701653.2108,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743701653,1744031295.2471,13001,http,43.130.35.202:13001,false,475.71229934692,2280,1536,59.748427672956,43.130.35.202
true,1744031067.5001,elite,611.83865511937,1743704525.628,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743704527,1744031295.2216,13001,http,49.51.195.196:13001,false,313.88974189758,2273,1506,60.148187351151,49.51.195.196
true,1744031294.9502,elite,725.99808581683,1742747164.9917,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743956842,1744031294.9502,13001,http,43.153.85.209:13001,false,456.24494552612,8461,6763,55.576720966894,43.153.85.209
true,1744031293.1896,elite,189.24011127481,1732983025.7761,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1743551342,1744031293.1896,8888,http,159.65.230.46:8888,false,183.40873718262,78346,67401,53.754794266777,159.65.230.46
true,1744031292.9441,elite,665.23287748518,1743806394.4956,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743806395,1744031292.9441,13001,http,43.153.4.121:13001,false,747.50828742981,1666,970,63.201820940819,43.153.4.121
true,1744031223.8152,elite,630.02730146719,1743743504.283,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743743505,1744031292.898,13001,http,170.106.84.182:13001,false,475.03232955933,2251,1104,67.093889716841,170.106.84.182
true,1744031292.607,elite,5728.7070348665,1743323694.8824,"AS55286 B2 Net Solutions Inc.",SERVER-MANIA,Buffalo,"North America",NA,"United States",US,,true,"B2 Net Solutions Inc.",42.8943,-78.8736,false,"ServerMania Inc",true,"New York",success,America/New_York,14202,1743928752,1744031292.607,2335,http,38.152.72.229:2335,false,9172.8708744049,616,7487,7.6021226706158,38.152.72.229
true,1744031292.0293,elite,687.70028773449,1743701292.8281,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743701293,1744031292.0293,13001,http,170.106.181.112:13001,false,748.39305877686,2587,1232,67.740246137732,170.106.181.112
true,1744031291.9799,elite,960.44389350461,1697031132.4775,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,true,"Performive LLC",34.0549,-118.243,false,"Performive LLC",true,California,success,America/Los_Angeles,90009,1743551552,1744031291.9799,4145,socks4,142.54.239.1:4145,true,949.91683959961,146340,315679,31.674022064028,142.54.239.1
true,1744031291.8811,elite,3333.0013219777,1697032231.9881,"AS6181 Cincinnati Bell Telephone Company LLC",FUSE-NET,Cincinnati,"North America",NA,"United States",US,,false,"Fuse Internet Access",39.1091,-84.6082,false,"Fuse Internet Access - BRAS Norwood Region",true,Ohio,success,America/New_York,45238,1743554723,1744031291.8811,31034,socks4,72.49.49.11:31034,true,9929.1777610779,144475,281576,33.910259569864,72.49.49.11
true,1744031291.6502,elite,673.96516935923,1743059551.2945,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743664409,1744031291.6502,13001,http,43.153.105.141:13001,false,315.27423858643,6171,5209,54.226713532513,43.153.105.141
true,1744031291.5812,elite,2100.4473368509,1696985444.5972,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1743596658,1744031291.5812,15280,socks4,184.178.172.18:15280,true,775.74276924133,126757,302371,29.538272962846,184.178.172.18
true,1744030605.9109,elite,193.55362466449,1730006221.6434,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1743551316,1744031291.1621,3128,http,142.93.202.130:3128,false,170.3884601593,117002,74324,61.153214931583,142.93.202.130
true,1744031290.9587,elite,6708.1779169906,1743037934.8384,"AS54290 Hostwinds LLC.",HOSTWINDS,Seattle,"North America",NA,"United States",US,,true,"Hostwinds LLC.",47.4941,-122.294,false,"Hostwinds LLC",false,Washington,success,America/Los_Angeles,98168,1743642737,1744031290.9587,43328,http,104.168.135.5:43328,false,10311.662197113,549,9513,5.4561717352415,104.168.135.5
true,1744031290.9207,elite,1065.6055668351,1696986897.2505,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1743551513,1744031290.9207,15864,socks4,192.252.214.20:15864,true,785.08305549622,139287,296473,31.964154580503,192.252.214.20
true,1744031248.9176,elite,3993.8406498024,1742422897.2549,"AS6939 Hurricane Electric LLC",HURRICANE,"San Jose","North America",NA,"United States",US,,true,"Hurricane Electric LLC",37.2821,-121.831,false,"Hurricane Electric",true,California,success,America/Los_Angeles,95111,1743632593,1744031290.2668,3128,http,64.62.219.199:3128,false,5408.2419872284,7031,10361,40.426632934683,64.62.219.199
true,1744031289.6085,elite,644.51266424726,1743741437.3023,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743741437,1744031289.6085,13001,http,43.135.132.101:13001,false,318.25685501099,2014,1361,59.674074074074,43.135.132.101
true,1744031288.7879,elite,542.6719362053,1743703907.9968,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743703909,1744031288.7879,13001,http,43.159.133.199:13001,false,746.94776535034,2668,1123,70.377209179636,43.159.133.199
true,1744031288.5432,elite,5648.9395973099,1743196798.7819,"AS55286 B2 Net Solutions Inc.",SERVER-MANIA,Buffalo,"North America",NA,"United States",US,,true,"B2 Net Solutions Inc.",42.8943,-78.8736,false,"ServerMania Inc",true,"New York",success,America/New_York,14202,1743803274,1744031288.5432,2335,http,38.152.72.216:2335,false,5123.6200332642,683,8913,7.1175489787411,38.152.72.216
true,1744031180.8503,elite,612.21169276798,1743743304.6382,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743743305,1744031288.181,13001,http,43.159.144.69:13001,false,745.11742591858,2221,1134,66.199701937407,43.159.144.69
true,1744031287.5704,elite,628.04064117902,1743741702.8498,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743742243,1744031287.5704,13001,http,170.106.195.109:13001,false,736.25612258911,2110,1261,62.592702462177,170.106.195.109
true,1744031169.6036,elite,951.29978182569,1730218086.8192,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Minkler,"North America",NA,"United States",US,,true,"Alibaba (US) Technology Co., Ltd.",36.7783,-119.418,false,"Alibaba.com LLC",true,California,success,America/Los_Angeles,,1743551522,1744031287.5607,82,http,47.88.59.79:82,false,1322.7736949921,113552,74736,60.307613868117,47.88.59.79
true,1744031287.478,transparent,6018.2031246884,1741074727.7415,"AS397470 Antoniol Electronic",ALE-NET,Jacksonville,"North America",NA,"United States",US,Downtown,false,"OSNET Wireless",30.3314,-81.6623,true,"OSNet Wireless",false,Florida,success,America/New_York,32202,1743494893,1744031287.478,999,http,154.64.215.193:999,false,4034.4572067261,2724,32842,7.6590001687004,154.64.215.193
true,1744031204.5392,elite,2785.0082864918,1730482263.1555,"AS46997 Black Mesa Corporation",NATOLAB,"San Jose","North America",NA,"United States",US,,false,,37.3387,-121.8852,false,"Black Mesa Corporation",true,California,success,America/Los_Angeles,,1743553503,1744031287.3475,80,http,23.247.136.248:80,false,309.74340438843,38385,32487,54.161022688791,23.247.136.248
true,1744031284.4368,elite,572.0089849367,1743702409.0771,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743702411,1744031284.4368,13001,http,170.106.171.100:13001,false,483.79230499268,2216,1592,58.193277310924,170.106.171.100
true,1744031283.5639,elite,631.14502049214,1743701350.1407,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743701575,1744031283.5639,13001,http,170.106.170.3:13001,false,453.32193374634,2512,1308,65.759162303665,170.106.170.3
true,1744031177.5333,elite,645.16436724267,1743704132.4824,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743704133,1744031282.4234,13001,http,49.51.193.111:13001,false,741.9741153717,2497,1291,65.918690601901,49.51.193.111
true,1744031282.4172,elite,959.14947642352,1697029812.9988,"AS46562 Performive LLC",PERFORMIVE,"Beverly Hills","North America",NA,"United States",US,,true,"Performive LLC",34.0624,-118.384,false,"ZeroLag Communications",true,California,success,America/Los_Angeles,90211,1743553227,1744031282.4172,4145,socks4,199.102.106.94:4145,true,987.25342750549,138949,287906,32.551803305572,199.102.106.94
true,1744031096.3785,elite,482.33360885006,1721898139.0597,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Santa Clara","North America",NA,"United States",US,,true,"DigitalOcean, LLC",37.3931,-121.962,false,"DigitalOcean, LLC",true,California,success,America/Los_Angeles,95054,1743551251,1744031282.394,80,http,165.232.129.150:80,false,298.58088493347,121921,183887,39.86847956888,165.232.129.150
true,1744031203.8245,elite,614.62005641725,1743742614.9876,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743743078,1744031282.2657,13001,http,43.153.95.171:13001,false,318.94159317017,1980,1381,58.911038381434,43.153.95.171
true,1744031185.9731,elite,610.32782578381,1743703034.1513,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743703040,1744031281.5528,13001,http,170.106.153.115:13001,false,475.83794593811,2449,1351,64.447368421053,170.106.153.115
true,1744031280.3557,elite,763.46874827924,1742749757.2268,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743959656,1744031280.3557,13001,http,43.153.88.171:13001,false,450.29520988464,9201,5988,60.576733162157,43.153.88.171
true,1744031103.5168,elite,640.48676003753,1743742160.405,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743742711,1744031279.5762,13001,http,43.135.176.22:13001,false,318.38822364807,2105,1260,62.555720653789,43.135.176.22
true,1744031189.8295,elite,584.54541260736,1743742293.5924,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743743290,1744031278.5441,13001,http,43.153.1.164:13001,false,747.84302711487,2052,1307,61.089610002977,43.153.1.164
true,1744031278.411,elite,579.78720107694,1743742311.2915,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743742485,1744031278.411,13001,http,43.153.48.116:13001,false,743.78561973572,2122,1241,63.098424026167,43.153.48.116
true,1744031277.4644,elite,573.82165284083,1743743177.799,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743743905,1744031277.4644,13001,http,43.153.74.136:13001,false,471.28748893738,2186,1165,65.234258430319,43.153.74.136
true,1744031216.6381,elite,661.70765677164,1743741498.6412,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743741499,1744031277.2408,13001,http,170.106.81.199:13001,false,735.57758331299,2150,1226,63.684834123223,170.106.81.199
true,1744031276.3061,elite,639.94809941405,1743704640.9009,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743704641,1744031276.3061,13001,http,49.51.206.38:13001,false,737.55025863647,2452,1331,64.816283372984,49.51.206.38
true,1744031276.1164,elite,5454.8610660307,1743277275.6091,"AS55286 B2 Net Solutions Inc.",SERVER-MANIA,Buffalo,"North America",NA,"United States",US,,true,"B2 Net Solutions Inc.",42.8943,-78.8736,false,"ServerMania Inc",true,"New York",success,America/New_York,14202,1743882536,1744031276.1164,2335,http,38.152.72.146:2335,false,1994.7168827057,637,7875,7.4835526315789,38.152.72.146
true,1744031012.2173,elite,669.39242059821,1743742692.0785,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743742790,1744031275.8209,13001,http,49.51.242.247:13001,false,535.81809997559,2266,1096,67.400356930399,49.51.242.247
true,1744031274.9384,elite,784.31303779208,1742752923.7631,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743962556,1744031274.9384,13001,http,43.153.98.107:13001,false,314.72516059875,8369,6786,55.222698779281,43.153.98.107
true,1744031273.4678,elite,4448.2107940811,1742422886.7631,"AS6939 Hurricane Electric LLC",HURRICANE,Fremont,"North America",NA,"United States",US,"East Industrial",true,"Hurricane Electric LLC",37.49,-121.931,false,"Hurricane Electric",true,California,success,America/Los_Angeles,94539,1743632611,1744031273.4678,3128,http,65.49.14.6:3128,false,2613.8775348663,6690,10697,38.477023063208,65.49.14.6
true,1744031108.3732,elite,5127.3946759398,1710550625.304,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"Digital Ocean",true,"New Jersey",success,America/New_York,07047,1743551589,1744031273.2222,80,http,167.99.236.14:80,false,3959.9361419678,99380,358326,21.712627756682,167.99.236.14
true,1744031272.9937,elite,601.71782569565,1743702473.579,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743702475,1744031272.9937,13001,http,170.106.114.25:13001,false,472.46527671814,2498,1309,65.61597058051,170.106.114.25
true,1744031106.9891,elite,650.0042357021,1743704513.1716,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743704515,1744031272.5683,13001,http,43.159.141.118:13001,false,731.59217834473,2329,1453,61.58117398202,43.159.141.118
true,1744031271.5368,elite,3874.7447327812,1743341422.5308,"AS46475 Limestone Networks, Inc.",LIMESTONENETWORKS,Miami,"North America",NA,"United States",US,,true,"Limestone Networks, Inc.",25.7701,-80.1928,false,"Ethernet Servers",false,Florida,success,America/New_York,33197,1743946891,1744031271.5368,8000,http,84.46.236.237:8000,false,6176.0983467102,606,7268,7.6962153924308,84.46.236.237
true,1744031110.3459,elite,596.6932725487,1743749662.0166,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743749665,1744031271.2539,13001,http,43.135.181.48:13001,false,309.4630241394,1933,1353,58.825319537432,43.135.181.48
true,1744031270.247,elite,598.84828170141,1743744337.903,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743744338,1744031270.247,13001,http,43.135.174.65:13001,false,316.01285934448,2100,1244,62.799043062201,43.135.174.65
true,1744031158.642,elite,638.38770744327,1743750141.9377,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743750142,1744031269.8397,13001,http,43.130.9.63:13001,false,1031.9085121155,2211,1069,67.408536585366,43.130.9.63
